"OID_","IN_FID","NEAR_FID","NEAR_DIST"
,29,287,0.000000
,30,45,0.000000
,30,48,0.000000
,30,34,0.000000
,31,1,0.000000
,31,42,0.000000
,31,38,0.000000
,31,39,0.000000
,32,24,0.000000
,32,29,0.000000
,32,37,0.000000
,32,43,0.000000
,32,289,0.000000
,32,26,0.000000
,32,290,0.000000
,32,23,0.000000
,33,47,0.000000
,33,149,0.000000
,33,2,0.000000
,33,45,0.000000
,34,48,0.000000
,34,168,0.000000
,34,36,0.000000
,34,30,0.000000
,35,37,0.000000
,35,1,0.000000
,35,42,0.000000
,35,27,0.000000
,35,41,0.000000
,35,288,0.000000
,36,44,0.000000
,36,168,0.000000
,36,295,0.000000
,36,34,0.000000
,37,29,0.000000
,37,43,0.000000
,37,32,0.000000
,37,55,0.000000
,37,35,0.000000
,37,41,0.000000
,37,287,0.000000
,37,288,0.000000
,38,31,0.000000
,38,39,0.000000
,38,40,0.000000
,39,3,0.000000
,39,31,0.000000
,39,42,0.000000
,39,38,0.000000
,39,40,0.000000
,40,38,0.000000
,40,39,0.000000
,41,37,0.000000
,41,3,0.000000
,41,55,0.000000
,41,42,0.000000
,41,35,0.000000
,42,3,0.000000
,42,1,0.000000
,42,31,0.000000
,42,35,0.000000
,42,41,0.000000
,42,39,0.000000
,43,37,0.000000
,43,51,0.000000
,43,57,0.000000
,43,60,0.000000
,43,289,0.000000
,43,32,0.000000
,43,5,0.000000
,43,55,0.000000
,44,53,0.000000
,44,150,0.000000
,44,295,0.000000
,44,36,0.000000
,45,33,0.000000
,45,2,0.000000
,45,48,0.000000
,45,58,0.000000
,45,30,0.000000
,46,149,0.000000
,46,54,0.000000
,46,293,0.000000
,46,294,0.000000
,46,290,0.000000
,46,28,0.000000
,47,33,0.000000
,47,68,0.000000
,47,149,0.000000
,47,2,0.000000
,47,49,0.000000
,47,293,0.000000
,47,50,0.000000
,48,45,0.000000
,48,168,0.000000
,48,58,0.000000
,48,34,0.000000
,48,30,0.000000
,49,47,0.000000
,49,68,0.000000
,49,2,0.000000
,49,4,0.000000
,50,47,0.000000
,50,68,0.000000
,50,78,0.000000
,50,293,0.000000
,50,6,0.000000
,51,7,0.000000
,51,43,0.000000
,51,71,0.000000
,51,57,0.000000
,51,5,0.000000
,51,55,0.000000
,52,150,0.000000
,52,168,0.000000
,52,295,0.000000
,52,56,0.000000
,53,63,0.000000
,53,44,0.000000
,53,150,0.000000
,53,61,0.000000
,53,72,0.000000
,54,46,0.000000
,54,60,0.000000
,54,289,0.000000
,54,294,0.000000
,54,66,0.000000
,54,290,0.000000
,55,37,0.000000
,55,43,0.000000
,55,51,0.000000
,55,3,0.000000
,55,5,0.000000
,55,70,0.000000
,55,41,0.000000
,56,52,0.000000
,56,150,0.000000
,56,168,0.000000
,56,58,0.000000
,57,7,0.000000
,57,43,0.000000
,57,51,0.000000
,57,60,0.000000
,57,67,0.000000
,58,2,0.000000
,58,45,0.000000
,58,48,0.000000
,58,150,0.000000
,58,168,0.000000
,58,56,0.000000
,58,75,0.000000
,59,62,0.000000
,60,43,0.000000
,60,54,0.000000
,60,57,0.000000
,60,289,0.000000
,60,9,0.000000
,60,66,0.000000
,60,67,0.000000
,61,53,0.000000
,61,150,0.000000
,61,87,0.000000
,61,64,0.000000
,61,72,0.000000
,62,3,0.000000
,62,69,0.000000
,62,59,0.000000
,62,73,0.000000
,63,80,0.000000
,63,65,0.000000
,63,53,0.000000
,63,72,0.000000
,64,61,0.000000
,64,87,0.000000
,64,72,0.000000
,65,63,0.000000
,65,80,0.000000
,65,83,0.000000
,66,54,0.000000
,66,60,0.000000
,66,294,0.000000
,66,9,0.000000
,66,88,0.000000
,66,6,0.000000
,66,76,0.000000
,66,79,0.000000
,67,7,0.000000
,67,57,0.000000
,67,60,0.000000
,67,9,0.000000
,67,8,0.000000
,68,47,0.000000
,68,78,0.000000
,68,49,0.000000
,68,4,0.000000
,68,50,0.000000
,69,3,0.000000
,69,82,0.000000
,69,84,0.000000
,69,62,0.000000
,69,73,0.000000
,70,3,0.000000
,70,5,0.000000
,70,55,0.000000
,70,84,0.000000
,70,85,0.000000
,71,7,0.000000
,71,51,0.000000
,71,5,0.000000
,72,63,0.000000
,72,80,0.000000
,72,94,0.000000
,72,96,0.000000
,72,53,0.000000
,72,61,0.000000
,72,87,0.000000
,72,64,0.000000
,73,69,0.000000
,73,82,0.000000
,73,10,0.000000
,73,62,0.000000
,73,90,0.000000
,73,284,0.000000
,74,78,0.000000
,74,86,0.000000
,74,4,0.000000
,74,77,0.000000
,74,81,0.000000
,75,2,0.000000
,75,150,0.000000
,75,87,0.000000
,75,58,0.000000
,75,77,0.000000
,76,78,0.000000
,76,93,0.000000
,76,66,0.000000
,76,6,0.000000
,76,79,0.000000
,77,2,0.000000
,77,87,0.000000
,77,4,0.000000
,77,74,0.000000
,77,75,0.000000
,77,81,0.000000
,78,68,0.000000
,78,86,0.000000
,78,93,0.000000
,78,4,0.000000
,78,74,0.000000
,78,6,0.000000
,78,50,0.000000
,78,76,0.000000
,79,93,0.000000
,79,66,0.000000
,79,88,0.000000
,79,76,0.000000
,80,63,0.000000
,80,94,0.000000
,80,65,0.000000
,80,83,0.000000
,80,72,0.000000
,81,86,0.000000
,81,87,0.000000
,81,74,0.000000
,81,77,0.000000
,81,92,0.000000
,82,69,0.000000
,82,84,0.000000
,82,167,0.000000
,82,286,0.000000
,82,73,0.000000
,82,284,0.000000
,83,80,0.000000
,83,94,0.000000
,83,65,0.000000
,84,3,0.000000
,84,69,0.000000
,84,70,0.000000
,84,82,0.000000
,84,286,0.000000
,84,85,0.000000
,85,7,0.000000
,85,5,0.000000
,85,11,0.000000
,85,70,0.000000
,85,84,0.000000
,85,286,0.000000
,85,89,0.000000
,86,78,0.000000
,86,93,0.000000
,86,74,0.000000
,86,81,0.000000
,86,92,0.000000
,87,110,0.000000
,87,96,0.000000
,87,150,0.000000
,87,61,0.000000
,87,64,0.000000
,87,72,0.000000
,87,75,0.000000
,87,77,0.000000
,87,81,0.000000
,87,92,0.000000
,88,93,0.000000
,88,102,0.000000
,88,9,0.000000
,88,66,0.000000
,88,281,0.000000
,88,79,0.000000
,89,273,0.000000
,89,274,0.000000
,89,7,0.000000
,89,12,0.000000
,89,11,0.000000
,89,85,0.000000
,90,10,0.000000
,90,73,0.000000
,90,95,0.000000
,91,9,0.000000
,91,280,0.000000
,91,281,0.000000
,92,86,0.000000
,92,93,0.000000
,92,126,0.000000
,92,110,0.000000
,92,87,0.000000
,92,81,0.000000
,93,78,0.000000
,93,86,0.000000
,93,102,0.000000
,93,126,0.000000
,93,133,0.000000
,93,92,0.000000
,93,88,0.000000
,93,76,0.000000
,93,79,0.000000
,94,106,0.000000
,94,113,0.000000
,94,118,0.000000
,94,80,0.000000
,94,96,0.000000
,94,83,0.000000
,94,98,0.000000
,94,72,0.000000
,95,10,0.000000
,95,90,0.000000
,95,105,0.000000
,96,110,0.000000
,96,112,0.000000
,96,117,0.000000
,96,118,0.000000
,96,94,0.000000
,96,87,0.000000
,96,72,0.000000
,97,103,0.000000
,97,106,0.000000
,97,108,0.000000
,97,98,0.000000
,98,106,0.000000
,98,94,0.000000
,98,97,0.000000
,99,119,0.000000
,99,151,0.000000
,99,270,0.000000
,99,285,0.000000
,99,10,0.000000
,99,101,0.000000
,100,14,0.000000
,100,12,0.000000
,100,9,0.000000
,100,8,0.000000
,101,270,0.000000
,101,10,0.000000
,101,99,0.000000
,101,105,0.000000
,102,93,0.000000
,102,133,0.000000
,102,114,0.000000
,102,125,0.000000
,102,88,0.000000
,102,280,0.000000
,102,281,0.000000
,103,108,0.000000
,103,109,0.000000
,103,123,0.000000
,103,97,0.000000
,104,14,0.000000
,104,122,0.000000
,104,125,0.000000
,105,270,0.000000
,105,10,0.000000
,105,95,0.000000
,105,101,0.000000
,106,108,0.000000
,106,113,0.000000
,106,115,0.000000
,106,94,0.000000
,106,97,0.000000
,106,98,0.000000
,107,272,0.000000
,107,273,0.000000
,107,11,0.000000
,108,103,0.000000
,108,106,0.000000
,108,109,0.000000
,108,115,0.000000
,108,124,0.000000
,108,97,0.000000
,109,103,0.000000
,109,108,0.000000
,109,123,0.000000
,109,124,0.000000
,109,121,0.000000
,110,126,0.000000
,110,15,0.000000
,110,117,0.000000
,110,130,0.000000
,110,136,0.000000
,110,169,0.000000
,110,96,0.000000
,110,87,0.000000
,110,92,0.000000
,111,13,0.000000
,111,275,0.000000
,111,282,0.000000
,112,117,0.000000
,112,118,0.000000
,112,120,0.000000
,112,18,0.000000
,112,96,0.000000
,113,106,0.000000
,113,115,0.000000
,113,118,0.000000
,113,16,0.000000
,113,129,0.000000
,113,94,0.000000
,114,102,0.000000
,114,133,0.000000
,114,125,0.000000
,114,291,0.000000
,114,292,0.000000
,115,106,0.000000
,115,108,0.000000
,115,113,0.000000
,115,16,0.000000
,115,124,0.000000
,116,151,0.000000
,116,271,0.000000
,116,285,0.000000
,117,15,0.000000
,117,110,0.000000
,117,112,0.000000
,117,18,0.000000
,117,96,0.000000
,118,112,0.000000
,118,113,0.000000
,118,120,0.000000
,118,129,0.000000
,118,131,0.000000
,118,94,0.000000
,118,96,0.000000
,119,151,0.000000
,119,270,0.000000
,119,99,0.000000
,120,112,0.000000
,120,118,0.000000
,120,18,0.000000
,120,131,0.000000
,121,109,0.000000
,121,123,0.000000
,121,124,0.000000
,121,132,0.000000
,122,14,0.000000
,122,104,0.000000
,122,125,0.000000
,122,276,0.000000
,122,17,0.000000
,123,103,0.000000
,123,109,0.000000
,123,121,0.000000
,123,132,0.000000
,123,145,0.000000
,124,108,0.000000
,124,109,0.000000
,124,115,0.000000
,124,16,0.000000
,124,134,0.000000
,124,121,0.000000
,124,132,0.000000
,125,102,0.000000
,125,14,0.000000
,125,104,0.000000
,125,114,0.000000
,125,122,0.000000
,125,137,0.000000
,125,291,0.000000
,125,17,0.000000
,125,280,0.000000
,126,93,0.000000
,126,133,0.000000
,126,141,0.000000
,126,110,0.000000
,126,136,0.000000
,126,138,0.000000
,126,139,0.000000
,126,92,0.000000
,127,14,0.000000
,127,275,0.000000
,127,128,0.000000
,127,276,0.000000
,128,14,0.000000
,128,127,0.000000
,128,276,0.000000
,129,113,0.000000
,129,118,0.000000
,129,16,0.000000
,129,19,0.000000
,129,131,0.000000
,130,110,0.000000
,130,20,0.000000
,130,136,0.000000
,130,169,0.000000
,130,296,0.000000
,131,118,0.000000
,131,120,0.000000
,131,18,0.000000
,131,19,0.000000
,131,129,0.000000
,132,123,0.000000
,132,124,0.000000
,132,134,0.000000
,132,121,0.000000
,132,145,0.000000
,133,93,0.000000
,133,102,0.000000
,133,126,0.000000
,133,141,0.000000
,133,114,0.000000
,133,135,0.000000
,133,171,0.000000
,133,292,0.000000
,134,16,0.000000
,134,19,0.000000
,134,124,0.000000
,134,153,0.000000
,134,132,0.000000
,134,145,0.000000
,135,133,0.000000
,135,137,0.000000
,135,152,0.000000
,135,171,0.000000
,135,292,0.000000
,136,126,0.000000
,136,110,0.000000
,136,20,0.000000
,136,130,0.000000
,136,143,0.000000
,136,139,0.000000
,137,125,0.000000
,137,156,0.000000
,137,291,0.000000
,137,135,0.000000
,137,152,0.000000
,137,292,0.000000
,137,17,0.000000
,138,126,0.000000
,138,141,0.000000
,138,139,0.000000
,138,147,0.000000
,138,148,0.000000
,139,126,0.000000
,139,136,0.000000
,139,143,0.000000
,139,138,0.000000
,139,147,0.000000
,140,184,0.000000
,140,142,0.000000
,140,181,0.000000
,141,126,0.000000
,141,133,0.000000
,141,155,0.000000
,141,173,0.000000
,141,138,0.000000
,141,148,0.000000
,141,171,0.000000
,142,174,0.000000
,142,276,0.000000
,142,184,0.000000
,142,17,0.000000
,142,140,0.000000
,142,181,0.000000
,143,20,0.000000
,143,136,0.000000
,143,182,0.000000
,143,139,0.000000
,143,147,0.000000
,144,15,0.000000
,144,18,0.000000
,144,178,0.000000
,144,169,0.000000
,144,172,0.000000
,144,186,0.000000
,145,123,0.000000
,145,134,0.000000
,145,153,0.000000
,145,154,0.000000
,145,132,0.000000
,145,170,0.000000
,145,179,0.000000
,146,18,0.000000
,146,175,0.000000
,146,178,0.000000
,146,19,0.000000
,146,176,0.000000
,147,173,0.000000
,147,143,0.000000
,147,182,0.000000
,147,138,0.000000
,147,139,0.000000
,147,148,0.000000
,148,141,0.000000
,148,173,0.000000
,148,138,0.000000
,148,147,0.000000
,149,33,0.000000
,149,47,0.000000
,149,2,0.000000
,149,46,0.000000
,149,293,0.000000
,149,28,0.000000
,150,44,0.000000
,150,52,0.000000
,150,53,0.000000
,150,295,0.000000
,150,56,0.000000
,150,61,0.000000
,150,87,0.000000
,150,58,0.000000
,150,75,0.000000
,151,116,0.000000
,151,119,0.000000
,151,285,0.000000
,151,99,0.000000
,152,137,0.000000
,152,156,0.000000
,152,135,0.000000
,152,171,0.000000
,152,180,0.000000
,153,19,0.000000
,153,134,0.000000
,153,154,0.000000
,153,177,0.000000
,153,145,0.000000
,153,176,0.000000
,154,194,0.000000
,154,153,0.000000
,154,177,0.000000
,154,185,0.000000
,154,145,0.000000
,154,179,0.000000
,155,141,0.000000
,155,173,0.000000
,155,193,0.000000
,155,171,0.000000
,155,188,0.000000
,156,297,0.000000
,156,137,0.000000
,156,184,0.000000
,156,152,0.000000
,156,180,0.000000
,156,17,0.000000
,157,194,0.000000
,157,198,0.000000
,157,209,0.000000
,157,185,0.000000
,158,183,0.000000
,158,201,0.000000
,158,206,0.000000
,158,200,0.000000
,158,184,0.000000
,158,181,0.000000
,158,189,0.000000
,159,206,0.000000
,159,230,0.000000
,159,200,0.000000
,159,297,0.000000
,159,210,0.000000
,159,240,0.000000
,159,249,0.000000
,160,162,0.000000
,160,202,0.000000
,160,208,0.000000
,160,225,0.000000
,160,232,0.000000
,160,161,0.000000
,160,235,0.000000
,161,160,0.000000
,161,202,0.000000
,161,215,0.000000
,161,297,0.000000
,161,242,0.000000
,161,245,0.000000
,161,164,0.000000
,161,234,0.000000
,161,235,0.000000
,162,160,0.000000
,162,225,0.000000
,162,232,0.000000
,162,233,0.000000
,162,235,0.000000
,163,224,0.000000
,163,247,0.000000
,163,231,0.000000
,163,237,0.000000
,164,161,0.000000
,164,242,0.000000
,164,256,0.000000
,164,234,0.000000
,164,235,0.000000
,165,268,0.000000
,165,265,0.000000
,165,267,0.000000
,165,250,0.000000
,165,262,0.000000
,165,266,0.000000
,166,236,0.000000
,166,239,0.000000
,166,263,0.000000
,166,267,0.000000
,167,82,0.000000
,167,285,0.000000
,167,286,0.000000
,167,284,0.000000
,168,48,0.000000
,168,52,0.000000
,168,295,0.000000
,168,56,0.000000
,168,58,0.000000
,168,34,0.000000
,168,36,0.000000
,169,15,0.000000
,169,110,0.000000
,169,130,0.000000
,169,172,0.000000
,169,144,0.000000
,169,296,0.000000
,170,145,0.000000
,170,179,0.000000
,171,133,0.000000
,171,141,0.000000
,171,155,0.000000
,171,135,0.000000
,171,152,0.000000
,171,180,0.000000
,171,188,0.000000
,172,20,0.000000
,172,169,0.000000
,172,182,0.000000
,172,195,0.000000
,172,144,0.000000
,172,186,0.000000
,172,296,0.000000
,173,141,0.000000
,173,155,0.000000
,173,193,0.000000
,173,182,0.000000
,173,147,0.000000
,173,148,0.000000
,173,192,0.000000
,174,183,0.000000
,174,276,0.000000
,174,142,0.000000
,174,181,0.000000
,175,178,0.000000
,175,187,0.000000
,175,146,0.000000
,175,176,0.000000
,176,175,0.000000
,176,187,0.000000
,176,19,0.000000
,176,153,0.000000
,176,177,0.000000
,176,146,0.000000
,176,190,0.000000
,177,153,0.000000
,177,154,0.000000
,177,185,0.000000
,177,176,0.000000
,177,190,0.000000
,178,18,0.000000
,178,175,0.000000
,178,187,0.000000
,178,146,0.000000
,178,144,0.000000
,178,186,0.000000
,179,194,0.000000
,179,196,0.000000
,179,154,0.000000
,179,145,0.000000
,179,170,0.000000
,180,297,0.000000
,180,156,0.000000
,180,152,0.000000
,180,171,0.000000
,180,188,0.000000
,181,158,0.000000
,181,174,0.000000
,181,183,0.000000
,181,184,0.000000
,181,140,0.000000
,181,142,0.000000
,182,173,0.000000
,182,199,0.000000
,182,20,0.000000
,182,143,0.000000
,182,172,0.000000
,182,195,0.000000
,182,147,0.000000
,182,192,0.000000
,183,158,0.000000
,183,174,0.000000
,183,201,0.000000
,183,181,0.000000
,184,158,0.000000
,184,297,0.000000
,184,156,0.000000
,184,17,0.000000
,184,140,0.000000
,184,142,0.000000
,184,181,0.000000
,184,189,0.000000
,185,157,0.000000
,185,194,0.000000
,185,198,0.000000
,185,203,0.000000
,185,154,0.000000
,185,177,0.000000
,185,190,0.000000
,186,178,0.000000
,186,187,0.000000
,186,205,0.000000
,186,172,0.000000
,186,195,0.000000
,186,144,0.000000
,187,175,0.000000
,187,178,0.000000
,187,204,0.000000
,187,214,0.000000
,187,176,0.000000
,187,190,0.000000
,187,205,0.000000
,187,186,0.000000
,188,155,0.000000
,188,193,0.000000
,188,297,0.000000
,188,171,0.000000
,188,180,0.000000
,188,191,0.000000
,189,158,0.000000
,189,200,0.000000
,189,297,0.000000
,189,184,0.000000
,190,187,0.000000
,190,204,0.000000
,190,203,0.000000
,190,177,0.000000
,190,185,0.000000
,190,176,0.000000
,191,193,0.000000
,191,202,0.000000
,191,297,0.000000
,191,188,0.000000
,192,173,0.000000
,192,193,0.000000
,192,202,0.000000
,192,197,0.000000
,192,199,0.000000
,192,213,0.000000
,192,182,0.000000
,193,155,0.000000
,193,173,0.000000
,193,202,0.000000
,193,192,0.000000
,193,188,0.000000
,193,191,0.000000
,194,157,0.000000
,194,196,0.000000
,194,209,0.000000
,194,154,0.000000
,194,185,0.000000
,194,179,0.000000
,195,199,0.000000
,195,205,0.000000
,195,211,0.000000
,195,172,0.000000
,195,182,0.000000
,195,186,0.000000
,196,194,0.000000
,196,209,0.000000
,196,179,0.000000
,197,202,0.000000
,197,208,0.000000
,197,213,0.000000
,197,219,0.000000
,197,192,0.000000
,198,157,0.000000
,198,203,0.000000
,198,185,0.000000
,199,211,0.000000
,199,213,0.000000
,199,182,0.000000
,199,195,0.000000
,199,192,0.000000
,200,158,0.000000
,200,206,0.000000
,200,159,0.000000
,200,297,0.000000
,200,189,0.000000
,201,158,0.000000
,201,183,0.000000
,201,206,0.000000
,201,212,0.000000
,202,160,0.000000
,202,193,0.000000
,202,208,0.000000
,202,197,0.000000
,202,192,0.000000
,202,161,0.000000
,202,297,0.000000
,202,191,0.000000
,203,204,0.000000
,203,198,0.000000
,203,185,0.000000
,203,190,0.000000
,204,187,0.000000
,204,214,0.000000
,204,203,0.000000
,204,190,0.000000
,205,187,0.000000
,205,214,0.000000
,205,211,0.000000
,205,216,0.000000
,205,195,0.000000
,205,186,0.000000
,206,158,0.000000
,206,201,0.000000
,206,230,0.000000
,206,159,0.000000
,206,200,0.000000
,206,212,0.000000
,207,297,0.000000
,207,217,0.000000
,207,210,0.000000
,207,218,0.000000
,208,160,0.000000
,208,202,0.000000
,208,232,0.000000
,208,197,0.000000
,208,219,0.000000
,209,157,0.000000
,209,194,0.000000
,209,196,0.000000
,210,159,0.000000
,210,207,0.000000
,210,297,0.000000
,210,217,0.000000
,210,218,0.000000
,210,240,0.000000
,211,199,0.000000
,211,205,0.000000
,211,213,0.000000
,211,216,0.000000
,211,220,0.000000
,211,195,0.000000
,212,201,0.000000
,212,206,0.000000
,212,230,0.000000
,212,241,0.000000
,213,197,0.000000
,213,199,0.000000
,213,211,0.000000
,213,219,0.000000
,213,220,0.000000
,213,192,0.000000
,214,187,0.000000
,214,204,0.000000
,214,205,0.000000
,214,216,0.000000
,214,228,0.000000
,215,161,0.000000
,215,297,0.000000
,215,217,0.000000
,215,243,0.000000
,215,245,0.000000
,216,214,0.000000
,216,205,0.000000
,216,211,0.000000
,216,220,0.000000
,216,226,0.000000
,216,228,0.000000
,217,207,0.000000
,217,215,0.000000
,217,297,0.000000
,217,243,0.000000
,217,210,0.000000
,217,218,0.000000
,217,240,0.000000
,218,207,0.000000
,218,217,0.000000
,218,210,0.000000
,218,240,0.000000
,219,208,0.000000
,219,232,0.000000
,219,197,0.000000
,219,213,0.000000
,219,220,0.000000
,219,224,0.000000
,219,231,0.000000
,220,211,0.000000
,220,213,0.000000
,220,216,0.000000
,220,219,0.000000
,220,224,0.000000
,220,226,0.000000
,221,223,0.000000
,222,241,0.000000
,222,248,0.000000
,222,279,0.000000
,222,278,0.000000
,223,221,0.000000
,223,229,0.000000
,223,227,0.000000
,224,219,0.000000
,224,220,0.000000
,224,226,0.000000
,224,247,0.000000
,224,163,0.000000
,224,231,0.000000
,225,160,0.000000
,225,162,0.000000
,225,232,0.000000
,226,216,0.000000
,226,220,0.000000
,226,224,0.000000
,226,247,0.000000
,226,251,0.000000
,226,228,0.000000
,226,236,0.000000
,227,223,0.000000
,227,229,0.000000
,228,214,0.000000
,228,238,0.000000
,228,216,0.000000
,228,226,0.000000
,228,236,0.000000
,228,239,0.000000
,229,223,0.000000
,229,248,0.000000
,229,227,0.000000
,230,206,0.000000
,230,241,0.000000
,230,254,0.000000
,230,159,0.000000
,230,249,0.000000
,230,212,0.000000
,231,232,0.000000
,231,219,0.000000
,231,224,0.000000
,231,163,0.000000
,231,237,0.000000
,231,244,0.000000
,232,160,0.000000
,232,162,0.000000
,232,208,0.000000
,232,225,0.000000
,232,233,0.000000
,232,246,0.000000
,232,219,0.000000
,232,231,0.000000
,232,244,0.000000
,233,162,0.000000
,233,232,0.000000
,233,246,0.000000
,233,235,0.000000
,234,161,0.000000
,234,242,0.000000
,234,164,0.000000
,235,160,0.000000
,235,162,0.000000
,235,233,0.000000
,235,246,0.000000
,235,161,0.000000
,235,256,0.000000
,235,164,0.000000
,236,226,0.000000
,236,251,0.000000
,236,166,0.000000
,236,228,0.000000
,236,239,0.000000
,236,267,0.000000
,237,247,0.000000
,237,163,0.000000
,237,231,0.000000
,237,244,0.000000
,237,250,0.000000
,238,228,0.000000
,238,239,0.000000
,239,238,0.000000
,239,253,0.000000
,239,166,0.000000
,239,228,0.000000
,239,236,0.000000
,239,263,0.000000
,240,159,0.000000
,240,217,0.000000
,240,243,0.000000
,240,210,0.000000
,240,218,0.000000
,240,249,0.000000
,240,264,0.000000
,241,230,0.000000
,241,252,0.000000
,241,254,0.000000
,241,212,0.000000
,241,222,0.000000
,241,278,0.000000
,242,161,0.000000
,242,245,0.000000
,242,256,0.000000
,242,260,0.000000
,242,164,0.000000
,242,234,0.000000
,243,215,0.000000
,243,217,0.000000
,243,245,0.000000
,243,260,0.000000
,243,240,0.000000
,243,264,0.000000
,244,232,0.000000
,244,246,0.000000
,244,258,0.000000
,244,268,0.000000
,244,231,0.000000
,244,237,0.000000
,244,250,0.000000
,245,161,0.000000
,245,215,0.000000
,245,242,0.000000
,245,243,0.000000
,245,260,0.000000
,246,232,0.000000
,246,233,0.000000
,246,258,0.000000
,246,244,0.000000
,246,256,0.000000
,246,235,0.000000
,247,224,0.000000
,247,226,0.000000
,247,251,0.000000
,247,163,0.000000
,247,237,0.000000
,247,250,0.000000
,248,229,0.000000
,248,279,0.000000
,248,222,0.000000
,249,230,0.000000
,249,254,0.000000
,249,159,0.000000
,249,240,0.000000
,249,255,0.000000
,249,264,0.000000
,250,268,0.000000
,250,165,0.000000
,250,247,0.000000
,250,251,0.000000
,250,237,0.000000
,250,244,0.000000
,250,262,0.000000
,251,226,0.000000
,251,247,0.000000
,251,265,0.000000
,251,236,0.000000
,251,267,0.000000
,251,250,0.000000
,251,262,0.000000
,252,241,0.000000
,252,254,0.000000
,252,278,0.000000
,253,269,0.000000
,253,239,0.000000
,253,261,0.000000
,253,263,0.000000
,254,230,0.000000
,254,241,0.000000
,254,252,0.000000
,254,249,0.000000
,254,255,0.000000
,255,254,0.000000
,255,249,0.000000
,255,264,0.000000
,256,246,0.000000
,256,258,0.000000
,256,242,0.000000
,256,260,0.000000
,256,164,0.000000
