OID	pop	PointX	PointY	fcadidature	fcost	fcapacity
114	220	19682360.52	3841222.136	0	0	0
115	48	19701795.56	3842483.298	0	0	0
116	155	19669177.9	3840015.419	0	0	0
117	97	19695304.59	3842107.151	0	0	0
118	53	19698788.31	3841664.447	0	0	0
119	265	19668591.07	3840574.305	0	0	0
120	49	19697902.02	3843180.812	0	0	0
121	72	19704133.05	3843412.66	0	0	0
122	131	19678794.07	3841583.612	0	0	0
123	160	19705325.26	3843168.585	0	0	0
124	69	19702687.37	3843018.385	0	0	0
125	290	19679843.35	3841413.729	0	0	0
126	113	19689009.28	3841924.691	0	0	0
127	117	19674926.72	3842762.803	0	0	0
128	40	19675655.16	3842468.703	0	0	0
129	139	19700180.91	3843675.51	0	0	0
130	43	19691896.13	3844230.333	0	0	0
131	145	19699229.53	3843782.333	0	0	0
132	117	19704255.08	3844173.048	0	0	0
133	70	19683276.19	3843426.812	0	0	0
134	73	19702537.17	3844417.123	0	0	0
135	168	19682166.3	3844314.184	0	0	0
136	59	19691326.88	3844791.411	0	0	0
137	226	19681319.48	3843894.66	0	0	0
138	54	19688791.25	3844113.089	0	0	0
139	102	19690026.77	3844436.099	0	0	0
140	16	19678021.7	3844835.149	0	0	0
141	60	19686749.99	3844780.322	0	0	0
142	67	19676815.43	3844421.665	0	0	0
143	29	19690075.22	3845219.4	0	0	0
144	131	19695021.87	3844521.748	0	0	0
145	167	19704867.94	3845483.005	0	0	0
146	87	19698922.01	3845926.891	0	0	0
147	70	19688872.0	3845106.347	0	0	0
148	42	19688152.16	3845865.422	0	0	0
149	1	19684565.92	3830264.565	0	0	0
150	1	19691969.79	3834488.221	0	0	0
151	261	19669274.74	3841140.739	0	0	0
152	226	19683867.7	3845394.07	1	0	1590
153	213	19702875.12	3846285.235	1	0	787
154	79	19703370.96	3846820.322	2	0	1165
155	105	19686367.44	3846784.178	1	0	430
156	205	19680027.29	3846229.964	1	0	540
157	218	19703804.48	3848378.647	1	0	798
158	156	19677332.76	3848608.601	1	0	2996
159	279	19679514.08	3849680.545	0	0	0
160	163	19686113.36	3851142.136	1	0	400
161	186	19682344.76	3850059.206	0	0	0
162	63	19685900.46	3852276.085	0	0	0
163	82	19688739.51	3852402.828	2	0	271
164	101	19683472.13	3852536.309	1	0	1162
165	172	19689037.27	3855390.753	1	0	200
166	104	19693832.33	3855863.071	1	0	445
167	217	19669170.67	3838715.58	1	0	1327
168	84	19691423.79	3832686.586	1	0	528
169	310	19693303.96	3844013.763	0	0	0
170	234	19705297.1	3846322.785	0	0	0
171	122	19684815.52	3845471.759	0	0	0
172	102	19691892.15	3846272.871	0	0	0
173	150	19686703.38	3846202.042	0	0	0
174	147	19676366.89	3846156.252	0	0	0
175	87	19697878.06	3846509.563	0	0	0
176	153	19699868.86	3845901.838	0	0	0
177	84	19701457.61	3846698.285	0	0	0
178	133	19696615.6	3845328.034	0	0	0
179	135	19704480.38	3846829.71	0	0	0
180	136	19682548.35	3846624.15	0	0	0
181	98	19678230.06	3846236.104	0	0	0
182	126	19691504.54	3846995.959	0	0	0
183	161	19676935.45	3846635.762	0	0	0
184	200	19679416.52	3845879.094	0	0	0
185	86	19703556.14	3847650.699	0	0	0
186	105	19694290.51	3847125.163	0	0	0
187	86	19697934.71	3847990.522	0	0	0
188	148	19684558.27	3847512.153	0	0	0
189	90	19679139.29	3847715.744	0	0	0
190	123	19699399.48	3847966.244	0	0	0
191	69	19684597.26	3848369.834	0	0	0
192	123	19688952.75	3848078.045	0	0	0
193	134	19685973.01	3847234.29	0	0	0
194	122	19704442.83	3847646.422	0	0	0
195	41	19691819.47	3847851.937	0	0	0
196	81	19706332.38	3848237.834	0	0	0
197	26	19688667.63	3849096.601	0	0	0
198	90	19701673.52	3848894.959	0	0	0
199	76	19691262.28	3848756.367	0	0	0
200	368	19679672.81	3848823.128	0	0	0
201	117	19676079.19	3848327.746	0	0	0
202	175	19685736.5	3849075.905	0	0	0
203	77	19699880.51	3849617.796	0	0	0
204	58	19698715.75	3849224.733	0	0	0
205	101	19694274.36	3849814.227	3	1000	900
206	172	19677497.17	3849314.166	0	0	0
207	86	19680577.42	3850258.465	0	0	0
208	136	19686456.85	3850108.599	0	0	0
209	170	19705456.68	3850346.474	0	0	0
210	95	19680027.29	3850154.504	0	0	0
211	39	19692215.16	3850040.335	0	0	0
212	69	19674154.3	3849862.177	0	0	0
213	150	19690826.22	3849289.335	0	0	0
214	74	19697157.23	3850193.765	0	0	0
215	98	19682014.03	3849834.467	0	0	0
216	113	19695073.81	3850791.335	0	0	0
217	80	19680534.1	3850475.051	0	0	0
218	66	19680063.74	3850533.646	0	0	0
219	105	19689047.54	3851088.551	0	0	0
220	56	19690751.99	3851447.924	0	0	0
221	78	19665742.33	3849971.779	0	0	0
222	63	19671297.35	3850011.553	0	0	0
223	76	19666427.34	3850314.286	0	0	0
224	18	19690669.85	3852289.882	0	0	0
225	50	19686577.53	3851805.032	0	0	0
226	25	19692220.29	3851951.045	0	0	0
227	29	19666317.74	3851328.106	0	0	0
228	88	19694764.37	3852246.198	0	0	0
229	96	19667030.15	3850136.182	0	0	0
230	141	19677887.62	3850738.994	0	0	0
231	60	19688452.01	3851643.012	0	0	0
232	144	19687271.21	3851920.242	0	0	0
233	83	19685330.6	3852372.024	0	0	0
234	58	19682329.88	3852177.749	0	0	0
235	159	19683817.55	3850877.901	0	0	0
236	29	19693976.08	3853501.481	0	0	0
237	86	19688564.95	3852947.02	0	0	0
238	16	19696799.72	3853419.338	0	0	0
239	44	19694975.89	3853512.704	0	0	0
240	87	19678424.12	3851555.638	0	0	0
241	218	19674969.46	3852102.172	3	1000	900
242	59	19682032.94	3852322.198	0	0	0
243	93	19679878.41	3851755.957	0	0	0
244	42	19687486.22	3852900.592	0	0	0
245	66	19681459.65	3851591.673	0	0	0
246	168	19685535.96	3853450.142	0	0	0
247	108	19691234.58	3853029.163	0	0	0
248	162	19670561.09	3851823.971	0	0	0
249	147	19677880.77	3851526.76	0	0	0
250	134	19688595.76	3853809.514	0	0	0
251	128	19692353.77	3854600.134	0	0	0
252	36	19674565.31	3854616.173	0	0	0
253	74	19695998.83	3855113.523	0	0	0
254	88	19675551.73	3852602.232	0	0	0
255	28	19676956.0	3854396.968	0	0	0
256	110	19684240.43	3853295.528	0	0	0
257	73	19684515.54	3853728.924	0	0	0
258	115	19686336.84	3854096.737	0	0	0
259	86	19684539.98	3854384.51	0	0	0
260	92	19680627.96	3855031.381	0	0	0
261	54	19695680.53	3856263.515	0	0	0
262	68	19690238.6	3855678.251	0	0	0
263	118	19694643.48	3856263.515	0	0	0
264	136	19678380.83	3854876.478	0	0	0
265	52	19692025.2	3855596.109	0	0	0
266	98	19687436.47	3856024.078	0	0	0
267	43	19693010.91	3855565.306	0	0	0
268	106	19686901.57	3855113.523	0	0	0
269	113	19696840.79	3857054.134	0	0	0
270	157	19667222.01	3840164.586	0	0	0
271	178	19669770.69	3840244.944	0	0	0
272	312	19670459.68	3839544.063	0	0	0
273	211	19672312.0	3839423.939	0	0	0
274	309	19672727.96	3839717.142	0	0	0
275	110	19674347.12	3842263.146	0	0	0
276	261	19676285.79	3843102.57	0	0	0
277	30	19681055.34	3825940.584	0	0	0
278	130	19673078.83	3853554.401	0	0	0
279	119	19671660.85	3853335.197	0	0	0
280	109	19679893.31	3839774.853	0	0	0
281	214	19680522.52	3838840.949	0	0	0
282	82	19673687.57	3841583.612	0	0	0
283	166	19673567.65	3840094.634	0	0	0
284	140	19668859.1	3838397.626	0	0	0
285	595	19668853.44	3839453.133	0	0	0
286	149	19669750.27	3838755.553	0	0	0
287	48	19674830.46	3829337.564	0	0	0
288	39	19673470.89	3829133.628	0	0	0
289	37	19678860.61	3831929.161	0	0	0
290	312	19679961.21	3831048.678	0	0	0
291	74	19681281.26	3842674.932	0	0	0
292	52	19682515.9	3843001.229	0	0	0
293	143	19684217.31	3832373.286	0	0	0
294	48	19683237.7	3833205.615	0	0	0
295	34	19692497.8	3831943.661	0	0	0
296	52	19692631.06	3844215.891	0	0	0
297	3042	19681330.62	3848469.991	1	0	4726
